------------------------------------------------------------
 Ids vs Vds
------------------------------------------------------------
Vds (V) (#1), Ids (A) (#1)
                   0,                    0
                 0.1,          0.000289888
                 0.2,          0.000556928
                 0.3,          0.000802257
                 0.4,           0.00102686
                 0.5,           0.00123161
                 0.6,           0.00141729
                 0.7,           0.00158459
                 0.8,           0.00173415
                 0.9,           0.00186657
                   1,           0.00198239
                 1.1,           0.00208214
                 1.2,           0.00216631
                 1.3,           0.00223541
                 1.4,           0.00228995
                 1.5,            0.0023305
                 1.6,           0.00235776
                 1.7,           0.00237276
                 1.8,           0.00237755
                 1.9,           0.00237799
                   2,             0.002378
                 2.1,             0.002378
                 2.2,             0.002378
                 2.3,             0.002378
                 2.4,             0.002378
                 2.5,             0.002378
                 2.6,             0.002378
                 2.7,             0.002378
                 2.8,             0.002378
                 2.9,             0.002378
                   3,             0.002378
                 3.1,             0.002378
                 3.2,             0.002378
                 3.3,             0.002378
                 3.4,             0.002378
                 3.5,             0.002378
                 3.6,             0.002378
                 3.7,             0.002378
                 3.8,             0.002378
                 3.9,             0.002378
                   4,             0.002378
                 4.1,             0.002378
                 4.2,             0.002378
                 4.3,             0.002378
                 4.4,             0.002378
                 4.5,             0.002378
                 4.6,             0.002378
                 4.7,             0.002378
                 4.8,             0.002378
                 4.9,             0.002378
                   5,             0.002378
                 5.1,             0.002378
                 5.2,             0.002378
                 5.3,             0.002378
                 5.4,             0.002378
                 5.5,             0.002378
                 5.6,             0.002378
                 5.7,             0.002378
                 5.8,             0.002378
                 5.9,             0.002378
                   6,             0.002378
                 6.1,             0.002378
                 6.2,             0.002378
                 6.3,             0.002378
                 6.4,             0.002378
                 6.5,             0.002378
                 6.6,             0.002378
                 6.7,             0.002378
                 6.8,             0.002378
                 6.9,             0.002378
                   7,             0.002378
                 7.1,             0.002378
                 7.2,             0.002378
                 7.3,             0.002378
                 7.4,             0.002378
                 7.5,             0.002378
                 7.6,             0.002378
                 7.7,             0.002378
                 7.8,             0.002378
                 7.9,             0.002378
                   8,             0.002378
                 8.1,             0.002378
